county,value
ALAMEDA,736690.59
CONTRA COSTA,2166032.4
MARIN,445034.87
NAPA,596290.77
SAN FRANCISCO,2182725.98
SAN MATEO,736782.8
SANTA CLARA,1034580.55
SOLANO,992757.52
SONOMA,1070931.71
